Time,Temperature,Humidity
2024-11-14 08:24:08,18,46℃,40,98%RH
2024-11-14 08:24:09,18,42℃,40,80%RH
2024-11-14 08:24:10,18,38℃,40,69%RH
2024-11-14 08:24:11,18,42℃,40,51%RH
2024-11-14 08:24:12,18,50℃,40,48%RH
2024-11-14 08:24:13,18,43℃,40,28%RH
2024-11-14 08:24:14,18,42℃,40,16%RH
2024-11-14 08:24:15,18,43℃,39,94%RH
2024-11-14 08:24:16,18,49℃,39,97%RH
2024-11-14 08:24:17,18,45℃,39,83%RH
2024-11-14 08:24:18,18,45℃,39,74%RH
2024-11-14 08:24:19,18,46℃,39,67%RH
2024-11-14 08:24:20,18,43℃,39,55%RH
2024-11-14 08:24:21,18,42℃,39,57%RH
2024-11-14 08:24:22,18,47℃,39,43%RH
2024-11-14 08:24:23,18,50℃,39,40%RH
2024-11-14 08:24:24,18,47℃,39,31%RH
2024-11-14 08:24:25,18,40℃,39,28%RH
2024-11-14 08:24:26,18,39℃,39,25%RH
2024-11-14 08:24:27,18,42℃,39,24%RH
2024-11-14 08:24:28,18,42℃,39,14%RH
2024-11-14 08:24:29,18,42℃,39,23%RH
2024-11-14 08:24:30,18,46℃,39,11%RH
2024-11-14 08:24:31,18,38℃,39,12%RH
2024-11-14 08:24:32,18,46℃,39,12%RH
2024-11-14 08:24:33,18,43℃,39,02%RH
2024-11-14 08:24:34,18,40℃,38,87%RH
2024-11-14 08:24:35,18,50℃,38,86%RH
2024-11-14 08:24:36,18,40℃,38,82%RH
2024-11-14 08:24:37,18,39℃,38,78%RH
2024-11-14 08:24:38,18,39℃,38,71%RH
2024-11-14 08:24:39,18,34℃,38,61%RH
2024-11-14 08:24:40,18,38℃,38,69%RH
2024-11-14 08:24:41,18,46℃,38,72%RH
2024-11-14 08:25:30,19,03℃,41,96%RH
2024-11-14 08:25:31,19,03℃,42,17%RH
2024-11-14 08:25:32,19,08℃,42,27%RH
2024-11-14 08:25:33,19,11℃,42,20%RH
2024-11-14 08:25:34,19,08℃,42,27%RH
2024-11-14 08:25:35,19,08℃,42,12%RH
2024-11-14 08:25:36,19,14℃,42,03%RH
2024-11-14 08:25:37,19,11℃,41,90%RH
2024-11-14 08:25:38,19,17℃,41,74%RH
2024-11-14 08:25:39,19,20℃,41,53%RH
2024-11-14 08:25:40,19,17℃,41,50%RH
2024-11-14 08:25:41,19,24℃,41,30%RH
